,# Threads,MPI Speedup,Pthreads Speedup,CUDA (1 blk) Speedup,CUDA (2 blk) Speedup,CUDA (4 blk) Speedup,CUDA (8 blk) Speedup
0,1,1.0031,0.9686,0.3566,,,
1,2,1.934,1.8742,0.6879,0.713,,
2,3,2.8036,2.8062,1.3036,,,
3,4,3.7143,3.1415,1.5821,1.3551,1.4183,
4,5,3.935,3.519,1.5747,,,
5,6,4.1434,3.829,1.8732,1.9732,,
6,7,4.4205,4.0998,2.1914,,,
7,8,4.5148,4.2375,2.4465,2.5416,2.702,2.7838
8,10,,4.2744,2.9825,3.0869,,
9,12,,4.3264,3.4273,3.6193,3.8946,
10,14,,4.3486,3.9188,4.1855,,
11,16,,4.4069,4.3709,4.6177,4.9992,5.2888
12,20,,4.4752,5.0627,5.5747,5.8661,
13,24,,4.5123,5.6767,6.3577,6.6882,6.9795
14,28,,4.5204,5.8426,7.0202,7.4612,
15,32,,4.5123,6.9919,7.9906,8.4853,8.8108
16,40,,4.4989,6.9986,8.3032,9.0442,9.3357
17,48,,4.4685,7.5554,8.8497,9.6577,9.7846
18,56,,4.4371,8.0101,8.7159,10.0303,10.3159
19,64,,4.5575,11.325,11.9674,13.6201,14.3701
